ticket_id,subject,message,priority
TKT-0050,Verdacht auf Datenverlust in Dateiserver,"In Dateiserver fehlen seit 2 Stunden Datensätze. Es besteht der Verdacht auf Datenverlust, wodurch HR wichtige Informationen nicht mehr abrufen kann.",hoch
TKT-0157,Optimierung von SSO,Dieses Ticket betrifft eine Optimierung von SSO im Bereich Passwortrichtlinie. Das Thema ist nachrangig und nicht kritisch.,niedrig
TKT-0013,Sofort prüfen: CRM verhindert Datenexport,Bitte sofort eingreifen. CRM verhindert aktuell Datenexport; die Mitarbeitenden aus Vertrieb melden durchgehend Fehlermeldungen und können ihre Arbeit nicht fortsetzen.,hoch
TKT-0031,Kritisch: VPN verursacht massive Probleme in Vertrieb,Der Vorfall ist kritisch. In VPN treten Serverfehler auf und mehrere Nutzer aus Vertrieb können Bestellabwicklung nicht mehr ausführen. Der Betrieb im Außendienst ist deutlich beeinträchtigt.,hoch
TKT-0142,Wunsch: farbliche Markierung in Microsoft Teams,"Für Produktion besteht der Wunsch, in Microsoft Teams farbliche Markierung einzurichten. Das ist eine reine Erweiterung ohne Auswirkung auf den laufenden Betrieb.",niedrig
TKT-0179,Empfehlung zur Nutzung von ERP,"Wir bitten um eine Empfehlung zur Nutzung von ERP im Zusammenhang mit Ordnerstruktur. Kein Ausfall, keine Einschränkung, nur Beratungsbedarf.",niedrig
TKT-0011,Kritisch: Active Directory verursacht massive Probleme in HR,Der Vorfall ist kritisch. In Active Directory treten Fehlermeldungen auf und mehrere Nutzer aus HR können Bestellabwicklung nicht mehr ausführen. Der Betrieb im Head Office ist deutlich beeinträchtigt.,hoch
TKT-0169,Empfehlung zur Nutzung von CRM,"Wir bitten um eine Empfehlung zur Nutzung von CRM im Zusammenhang mit Druckereinstellung. Kein Ausfall, keine Einschränkung, nur Beratungsbedarf.",niedrig
TKT-0186,Verbesserung für Dateiserver,"Es handelt sich um eine Verbesserung an Dateiserver. Der aktuelle Prozess funktioniert, wir möchten ihn lediglich etwas benutzerfreundlicher gestalten.",niedrig
TKT-0158,Komfort-Anpassung in CRM,"Gewünscht ist eine kleine Komfort-Anpassung in CRM, zum Beispiel Archivsuche. Das ist nur ein Nice-to-have ohne operative Auswirkungen.",niedrig
TKT-0122,Wunsch: Dashboard-Filter in Intranet,"Für Vertrieb besteht der Wunsch, in Intranet Dashboard-Filter einzurichten. Das ist eine reine Erweiterung ohne Auswirkung auf den laufenden Betrieb.",niedrig
TKT-0002,Dringend: Firewall muss umgehend geprüft werden,"Bitte dringend bearbeiten. Firewall zeigt Login-Fehler, wodurch Vertrieb aktuell nicht produktiv arbeiten kann. Eine schnelle Wiederherstellung ist erforderlich.",hoch
TKT-0196,Verbesserung für WLAN,"Es handelt sich um eine Verbesserung an WLAN. Der aktuelle Prozess funktioniert, wir möchten ihn lediglich etwas benutzerfreundlicher gestalten.",niedrig
TKT-0010,Verdacht auf Datenverlust in Firewall,"In Firewall fehlen seit 2 Stunden Datensätze. Es besteht der Verdacht auf Datenverlust, wodurch Einkauf wichtige Informationen nicht mehr abrufen kann.",hoch
TKT-0119,Empfehlung zur Nutzung von Intranet,"Wir bitten um eine Empfehlung zur Nutzung von Intranet im Zusammenhang mit Aufbewahrungsfristen. Kein Ausfall, keine Einschränkung, nur Beratungsbedarf.",niedrig
TKT-0026,SAP ist für Support nicht verfügbar,SAP ist seit heute Morgen nicht verfügbar. Support kann sich nicht anmelden und Schichtplanung nicht ausführen.,hoch
TKT-0184,Später umsetzen: Dark Mode in Backup-System,"Die Anpassung Dark Mode in Backup-System wäre hilfreich, ist aber klar für später vorgesehen. Es gibt keine Blockade und keinen Zeitdruck.",niedrig
TKT-0135,Optional: Dashboard-Filter für Citrix,"Die Funktion Dashboard-Filter wäre optional für Einkauf. Falls Kapazität vorhanden ist, kann das Thema aufgenommen werden; andernfalls auch zu einem späteren Zeitpunkt.",niedrig
TKT-0130,Nachrangig: Rückfrage zu Firewall,Das Anliegen ist ausdrücklich nachrangig. Zu Firewall gibt es eine Rückfrage zu Lizenzmodell; Bearbeitung im normalen Backlog ist ausreichend.,niedrig
TKT-0162,Wunsch: Archivsuche in Netzlaufwerk,"Für HR besteht der Wunsch, in Netzlaufwerk Archivsuche einzurichten. Das ist eine reine Erweiterung ohne Auswirkung auf den laufenden Betrieb.",niedrig
TKT-0065,Störung bei E-Mail im Produktivbetrieb,Wir haben eine anhaltende Störung in E-Mail. Seit 45 Minuten kommt es zu Fehlermeldungen; der Ablauf in Einkauf ist stark eingeschränkt.,hoch
TKT-0102,Wunsch: Startseiten-Anpassung in Dateiserver,"Für HR besteht der Wunsch, in Dateiserver Startseiten-Anpassung einzurichten. Das ist eine reine Erweiterung ohne Auswirkung auf den laufenden Betrieb.",niedrig
TKT-0017,Blockiert: Zugriff auf ERP für Produktion,Mehrere Konten sind blockiert und der Zugriff auf ERP ist nicht möglich. Produktion ist dadurch vollständig blockiert.,hoch
TKT-0199,Empfehlung zur Nutzung von Intranet,"Wir bitten um eine Empfehlung zur Nutzung von Intranet im Zusammenhang mit Aufbewahrungsfristen. Kein Ausfall, keine Einschränkung, nur Beratungsbedarf.",niedrig
TKT-0049,Sicherheitsvorfall in VPN,Es besteht der Verdacht auf einen Sicherheitsvorfall in VPN. Ungewöhnliche Aktivitäten wurden erkannt; bitte sofort prüfen und priorisiert behandeln.,hoch
TKT-0149,Empfehlung zur Nutzung von Active Directory,"Wir bitten um eine Empfehlung zur Nutzung von Active Directory im Zusammenhang mit Lizenzmodell. Kein Ausfall, keine Einschränkung, nur Beratungsbedarf.",niedrig
TKT-0073,Sofort prüfen: ERP verhindert Kundensupport,Bitte sofort eingreifen. ERP verhindert aktuell Kundensupport; die Mitarbeitenden aus Support melden durchgehend Fehlermeldungen und können ihre Arbeit nicht fortsetzen.,hoch
TKT-0040,Verdacht auf Datenverlust in SSO,"In SSO fehlen seit 20 Minuten Datensätze. Es besteht der Verdacht auf Datenverlust, wodurch Management wichtige Informationen nicht mehr abrufen kann.",hoch
TKT-0178,Komfort-Anpassung in Dateiserver,"Gewünscht ist eine kleine Komfort-Anpassung in Dateiserver, zum Beispiel Archivsuche. Das ist nur ein Nice-to-have ohne operative Auswirkungen.",niedrig
TKT-0063,Sofort prüfen: CRM verhindert Schichtplanung,Bitte sofort eingreifen. CRM verhindert aktuell Schichtplanung; die Mitarbeitenden aus HR melden durchgehend Fehlermeldungen und können ihre Arbeit nicht fortsetzen.,hoch
TKT-0048,Produktionsstillstand wegen Problemen mit Netzlaufwerk,"Durch Probleme mit Netzlaufwerk besteht Produktionsstillstand. Der Prozess Bestellabwicklung steht, und im Außendienst können keine Vorgänge mehr bearbeitet werden.",hoch
TKT-0064,Ausfall von Microsoft Teams im Produktivbetrieb,"Es liegt ein kompletter Ausfall von Microsoft Teams vor. Seit 45 Minuten ist der Dienst im Produktivbetrieb nicht erreichbar, wodurch Rechnungsstellung nicht mehr möglich ist.",hoch
TKT-0113,Information zu Self-Service-Portal in Dateiserver,Wir benötigen lediglich eine Information zu Self-Service-Portal in Dateiserver. Es liegt keine Störung vor; die Bearbeitung kann später erfolgen.,niedrig
TKT-0051,Kritisch: SSO verursacht massive Probleme in HR,Der Vorfall ist kritisch. In SSO treten Synchronisationsfehler auf und mehrere Nutzer aus HR können Datenexport nicht mehr ausführen. Der Betrieb im Standort Berlin ist deutlich beeinträchtigt.,hoch
TKT-0067,Blockiert: Zugriff auf SAP für Vertrieb,Mehrere Konten sind blockiert und der Zugriff auf SAP ist nicht möglich. Vertrieb ist dadurch vollständig blockiert.,hoch
TKT-0066,Backup-System ist für Einkauf nicht verfügbar,Backup-System ist seit 2 Stunden nicht verfügbar. Einkauf kann sich nicht anmelden und Rechnungsstellung nicht ausführen.,hoch
TKT-0096,Drucker ist für Finanzen nicht verfügbar,Drucker ist seit 20 Minuten nicht verfügbar. Finanzen kann sich nicht anmelden und Schichtplanung nicht ausführen.,hoch
TKT-0069,Sicherheitsvorfall in SAP,Es besteht der Verdacht auf einen Sicherheitsvorfall in SAP. Ungewöhnliche Aktivitäten wurden erkannt; bitte sofort prüfen und priorisiert behandeln.,hoch
TKT-0146,Verbesserung für Microsoft Teams,"Es handelt sich um eine Verbesserung an Microsoft Teams. Der aktuelle Prozess funktioniert, wir möchten ihn lediglich etwas benutzerfreundlicher gestalten.",niedrig
TKT-0072,Dringend: Drucker muss umgehend geprüft werden,"Bitte dringend bearbeiten. Drucker zeigt Timeouts, wodurch Management aktuell nicht produktiv arbeiten kann. Eine schnelle Wiederherstellung ist erforderlich.",hoch
TKT-0174,Später umsetzen: Dashboard-Filter in Intranet,"Die Anpassung Dashboard-Filter in Intranet wäre hilfreich, ist aber klar für später vorgesehen. Es gibt keine Blockade und keinen Zeitdruck.",niedrig
TKT-0076,Backup-System ist für Produktion nicht verfügbar,Backup-System ist seit Schichtbeginn nicht verfügbar. Produktion kann sich nicht anmelden und Datenexport nicht ausführen.,hoch
TKT-0032,Dringend: Citrix muss umgehend geprüft werden,"Bitte dringend bearbeiten. Citrix zeigt Authentifizierungsfehler, wodurch Logistik aktuell nicht produktiv arbeiten kann. Eine schnelle Wiederherstellung ist erforderlich.",hoch
TKT-0171,Anfrage zu Ticketsystem,Ich habe eine Anfrage zu Ticketsystem. Es geht um das Thema Passwortrichtlinie. Das Ticket ist nicht dringend und kann bei Gelegenheit bearbeitet werden.,niedrig
TKT-0138,Komfort-Anpassung in Netzlaufwerk,"Gewünscht ist eine kleine Komfort-Anpassung in Netzlaufwerk, zum Beispiel Startseiten-Anpassung. Das ist nur ein Nice-to-have ohne operative Auswirkungen.",niedrig
TKT-0061,Kritisch: Dateiserver verursacht massive Probleme in Management,Der Vorfall ist kritisch. In Dateiserver treten Timeouts auf und mehrere Nutzer aus Management können Bestellabwicklung nicht mehr ausführen. Der Betrieb im Standort München ist deutlich beeinträchtigt.,hoch
TKT-0173,Information zu Nutzungsdauer in Backup-System,Wir benötigen lediglich eine Information zu Nutzungsdauer in Backup-System. Es liegt keine Störung vor; die Bearbeitung kann später erfolgen.,niedrig
TKT-0159,Empfehlung zur Nutzung von Dateiserver,"Wir bitten um eine Empfehlung zur Nutzung von Dateiserver im Zusammenhang mit Druckereinstellung. Kein Ausfall, keine Einschränkung, nur Beratungsbedarf.",niedrig
TKT-0118,Komfort-Anpassung in WLAN,"Gewünscht ist eine kleine Komfort-Anpassung in WLAN, zum Beispiel Startseiten-Anpassung. Das ist nur ein Nice-to-have ohne operative Auswirkungen.",niedrig
TKT-0107,Optimierung von Netzlaufwerk,Dieses Ticket betrifft eine Optimierung von Netzlaufwerk im Bereich Druckereinstellung. Das Thema ist nachrangig und nicht kritisch.,niedrig
TKT-0035,Störung bei Netzlaufwerk im Rechenzentrum,Wir haben eine anhaltende Störung in Netzlaufwerk. Seit Schichtbeginn kommt es zu Fehlermeldungen; der Ablauf in Support ist stark eingeschränkt.,hoch
TKT-0060,Verdacht auf Datenverlust in Firewall,"In Firewall fehlen seit Schichtbeginn Datensätze. Es besteht der Verdacht auf Datenverlust, wodurch Management wichtige Informationen nicht mehr abrufen kann.",hoch
TKT-0045,Störung bei Intranet im Produktivbetrieb,Wir haben eine anhaltende Störung in Intranet. Seit 2 Stunden kommt es zu Serverfehler; der Ablauf in HR ist stark eingeschränkt.,hoch
TKT-0115,Optional: farbliche Markierung für Microsoft Teams,"Die Funktion farbliche Markierung wäre optional für Support. Falls Kapazität vorhanden ist, kann das Thema aufgenommen werden; andernfalls auch zu einem späteren Zeitpunkt.",niedrig
TKT-0182,Wunsch: zusätzlicher Report in Microsoft Teams,"Für Einkauf besteht der Wunsch, in Microsoft Teams zusätzlicher Report einzurichten. Das ist eine reine Erweiterung ohne Auswirkung auf den laufenden Betrieb.",niedrig
TKT-0128,Komfort-Anpassung in SSO,"Gewünscht ist eine kleine Komfort-Anpassung in SSO, zum Beispiel Dashboard-Filter. Das ist nur ein Nice-to-have ohne operative Auswirkungen.",niedrig
TKT-0108,Komfort-Anpassung in Netzlaufwerk,"Gewünscht ist eine kleine Komfort-Anpassung in Netzlaufwerk, zum Beispiel Archivsuche. Das ist nur ein Nice-to-have ohne operative Auswirkungen.",niedrig
TKT-0025,Störung bei Active Directory im Standort München,Wir haben eine anhaltende Störung in Active Directory. Seit Schichtbeginn kommt es zu Zugriffsprobleme; der Ablauf in Finanzen ist stark eingeschränkt.,hoch
TKT-0054,Ausfall von SSO im Produktivbetrieb,"Es liegt ein kompletter Ausfall von SSO vor. Seit 45 Minuten ist der Dienst im Produktivbetrieb nicht erreichbar, wodurch Kundensupport nicht mehr möglich ist.",hoch
TKT-0022,Dringend: Firewall muss umgehend geprüft werden,"Bitte dringend bearbeiten. Firewall zeigt Zugriffsprobleme, wodurch Produktion aktuell nicht produktiv arbeiten kann. Eine schnelle Wiederherstellung ist erforderlich.",hoch
TKT-0160,Nachrangig: Rückfrage zu VPN,Das Anliegen ist ausdrücklich nachrangig. Zu VPN gibt es eine Rückfrage zu Mobilzugriff; Bearbeitung im normalen Backlog ist ausreichend.,niedrig
TKT-0068,Produktionsstillstand wegen Problemen mit Firewall,"Durch Probleme mit Firewall besteht Produktionsstillstand. Der Prozess Kundensupport steht, und im Head Office können keine Vorgänge mehr bearbeitet werden.",hoch
TKT-0019,Sicherheitsvorfall in E-Mail,Es besteht der Verdacht auf einen Sicherheitsvorfall in E-Mail. Ungewöhnliche Aktivitäten wurden erkannt; bitte sofort prüfen und priorisiert behandeln.,hoch
TKT-0027,Blockiert: Zugriff auf Firewall für Einkauf,Mehrere Konten sind blockiert und der Zugriff auf Firewall ist nicht möglich. Einkauf ist dadurch vollständig blockiert.,hoch
TKT-0110,Nachrangig: Rückfrage zu Firewall,Das Anliegen ist ausdrücklich nachrangig. Zu Firewall gibt es eine Rückfrage zu Passwortrichtlinie; Bearbeitung im normalen Backlog ist ausreichend.,niedrig
TKT-0042,Dringend: Microsoft Teams muss umgehend geprüft werden,"Bitte dringend bearbeiten. Microsoft Teams zeigt Timeouts, wodurch Logistik aktuell nicht produktiv arbeiten kann. Eine schnelle Wiederherstellung ist erforderlich.",hoch
TKT-0084,Ausfall von Microsoft Teams im Rechenzentrum,"Es liegt ein kompletter Ausfall von Microsoft Teams vor. Seit 2 Stunden ist der Dienst im Rechenzentrum nicht erreichbar, wodurch Bestellabwicklung nicht mehr möglich ist.",hoch
TKT-0140,Nachrangig: Rückfrage zu Dateiserver,Das Anliegen ist ausdrücklich nachrangig. Zu Dateiserver gibt es eine Rückfrage zu Nutzungsdauer; Bearbeitung im normalen Backlog ist ausreichend.,niedrig
